date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:32	58301/58301	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202016%2010:24:20%20GMT	http://www.pixel-industry.com/html/royal-plate/	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/index.html	(from )
18:24:33	73/73	---M-Z	200	added ('OK')	text/plain	date:Mon,%2021%20Nov%202016%2010:24:20%20GMT	http://www.pixel-industry.com/robots.txt		(from )
18:24:33	66422/66422	---M-Z	200	added ('OK')	text/css	etag:%2210376-52a39406ef269-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/bootstrap.min.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/bootstrap.min.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:34	24386/24386	---M-Z	200	added ('OK')	text/css	etag:%225f42-52a39405d65bd-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/bootstrap-theme.min.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/bootstrap-theme.min.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:34	84489/84489	---M-Z	200	added ('OK')	text/css	etag:%2214a09-52a39409514ce-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/style.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/style.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:34	3974/3974	---M-Z	200	added ('OK')	text/css	etag:%22f86-52a39407829cb-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/color-default.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/color-default.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:35	1189/1189	---M-Z	200	added ('OK')	text/css	etag:%224a5-52a39408d44a2-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/retina.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/retina.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:35	52946/52946	---M-Z	200	added ('OK')	text/css	etag:%22ced2-52a394088a4dc-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/responsive.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/responsive.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:36	72928/72928	---M-Z	200	added ('OK')	text/css	etag:%2211ce0-52a39405e1182-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/animate.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/animate.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:36	12395/12395	---M-Z	200	added ('OK')	text/css	etag:%22306b-52a3943be0f85-gzip%22	http://www.pixel-industry.com/html/royal-plate/masterslider/style/masterslider.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/masterslider/style/masterslider.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:37	3936/3936	---M-Z	200	added ('OK')	text/css	etag:%22f60-52a3943e9cbbc-gzip%22	http://www.pixel-industry.com/html/royal-plate/masterslider/skins/default/style.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/masterslider/skins/default/style.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:37	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-52a39443326a6-gzip%22	http://www.pixel-industry.com/html/royal-plate/owl-carousel/owl.carousel.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/owl-carousel/owl.carousel.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:38	1665/1665	---M-Z	200	added ('OK')	text/css	etag:%22681-52a39443cf29e-gzip%22	http://www.pixel-industry.com/html/royal-plate/owl-carousel/owl.theme.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/owl-carousel/owl.theme.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:38	8248/8248	---M-Z	200	added ('OK')	text/css	etag:%222038-52a39407f713b-gzip%22	http://www.pixel-industry.com/html/royal-plate/css/magnific-popup.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/css/magnific-popup.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:39	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%2255e0-52a3940b04e07-gzip%22	http://www.pixel-industry.com/html/royal-plate/font-awesome/css/font-awesome.min.css	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/font-awesome/css/font-awesome.min.css	(from http://www.pixel-industry.com/html/royal-plate/)
18:24:39	58301/58301	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202016%2010:24:28%20GMT	http://www.pixel-industry.com/html/royal-plate/index.html	C:/Apache24/htdocs/My%20Web%20Sites/pixel-industry.com/www.pixel-industry.com/html/royal-plate/index-2.html	(from http://www.pixel-industry.com/html/royal-plate/)
