date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:25:43	31/31	---M--	200	added ('OK')	text/plain	etag:%22c60349-1f-5328913c6866d%22	http://tectonic.kaijuthemes.com/robots.txt		(from )
18:25:46	121352/121352	---M--	200	added ('OK')	text/html	etag:%22c75a80-1da08-53445dc54fd61%22	http://tectonic.kaijuthemes.com/	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/index.html	(from )
18:25:46	21984/21984	---M--	200	added ('OK')	text/css	etag:%22c6e644-55e0-52624ddf43300%22	http://tectonic.kaijuthemes.com/assets/fonts/font-awesome/css/font-awesome.min.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/fonts/font-awesome/css/font-awesome.min.css	(from http://tectonic.kaijuthemes.com/)
18:25:48	57193/57193	---M--	200	added ('OK')	text/css	etag:%22c6e67a-df69-52624ddf43300%22	http://tectonic.kaijuthemes.com/assets/fonts/ionicons/css/ionicons.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/fonts/ionicons/css/ionicons.css	(from http://tectonic.kaijuthemes.com/)
18:25:48	25252/25252	---M--	200	added ('OK')	text/css	etag:%22c6ded0-62a4-528907717bf80%22	http://tectonic.kaijuthemes.com/assets/fonts/elegant-icons/css/style.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/fonts/elegant-icons/css/style.css	(from http://tectonic.kaijuthemes.com/)
18:25:54	1399/1399	---M--	200	added ('OK')	text/css	etag:%22c6f306-577-52624de037540%22	http://tectonic.kaijuthemes.com/assets/plugins/codeprettifier/prettify.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/plugins/codeprettifier/prettify.css	(from http://tectonic.kaijuthemes.com/)
18:25:55	1211915/1211915	---M--	200	added ('OK')	text/css	etag:%22c6de04-127e0b-5344590085c71%22	http://tectonic.kaijuthemes.com/assets/css/styles.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/css/styles.css	(from http://tectonic.kaijuthemes.com/)
18:25:56	1501/1501	---M--	200	added ('OK')	text/css	etag:%22c722b4-5dd-52624de037540%22	http://tectonic.kaijuthemes.com/assets/plugins/iCheck/skins/minimal/blue.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/plugins/iCheck/skins/minimal/blue.css	(from http://tectonic.kaijuthemes.com/)
18:25:56	269/269	---M--	200	added ('OK')	text/css	etag:%22c757f9-10d-52d498643b500%22	http://tectonic.kaijuthemes.com/assets/plugins/wijets/wijets.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/plugins/wijets/wijets.css	(from http://tectonic.kaijuthemes.com/)
18:25:57	32038/32038	---M--	200	added ('OK')	text/css	etag:%22c6f1cd-7d26-53497e1a496d3%22	http://tectonic.kaijuthemes.com/assets/js/jqueryui.css	C:/Apache24/htdocs/My%20Web%20Sites/kaijuthemes/tectonic.kaijuthemes.com/assets/js/jqueryui.css	(from http://tectonic.kaijuthemes.com/)
